,Pos,2013,Title,Director,Year,Country,Mins
0,1,1,Citizen Kane,"Welles, Orson",1941,USA,119
1,2,2,Vertigo,"Hitchcock, Alfred",1958,USA,128
2,3,3,2001: A Space Odyssey,"Kubrick, Stanley",1968,UK,139
3,4,5,Tokyo Story,"Ozu, Yasujiro",1953,Japan,134
4,5,4,"Rules of the Game, The","Renoir, Jean",1939,France,113
5,6,6,8 1/2,"Fellini, Federico",1963,Italy,135
6,7,8,"Godfather, The","Coppola, Francis Ford",1972,USA,175
7,8,7,Sunrise,"Murnau, F.W.",1927,USA,110
8,9,9,"Searchers, The","Ford, John",1956,USA,119
9,10,10,Seven Samurai,"Kurosawa, Akira",1954,Japan,200
10,11,11,Battleship Potemkin,"Eisenstein, Sergei",1925,USSR,65
11,12,12,Apocalypse Now,"Coppola, Francis Ford",1979,USA,150
12,13,13,Bicycle Thieves,"De Sica, Vittorio",1948,Italy,90
13,14,15,Breathless,"Godard, Jean-Luc",1960,France,89
14,15,14,"Passion of Joan of Arc, The","Dreyer, Carl Theodor",1928,France,110
15,16,16,Singin' in the Rain,Donen & Kelly,1952,USA,102
16,17,17,"Atalante, L'","Vigo, Jean",1934,France,89
17,18,18,Rashomon,"Kurosawa, Akira",1950,Japan,88
18,19,19,Taxi Driver,"Scorsese, Martin",1976,USA,113
19,20,21,"Godfather Part II, The","Coppola, Francis Ford",1974,USA,200
20,21,20,Raging Bull,"Scorsese, Martin",1980,USA,128
21,22,23,Lawrence of Arabia,"Lean, David",1962,UK,216
22,23,26,"400 Blows, The","Truffaut, Francois",1959,France,99
23,24,24,Persona,"Bergman, Ingmar",1966,Sweden,81
24,25,22,Andrei Rublev,"Tarkovsky, Andrei",1966,USSR,185
25,26,27,Mirror,"Tarkovsky, Andrei",1974,USSR,108
26,27,25,"Man with a Movie Camera, The","Vertov, Dziga",1929,USSR,80
27,28,31,"Avventura, L'","Antonioni, Michelangelo",1960,Italy,145
28,29,29,City Lights,"Chaplin, Charles",1931,USA,86
29,30,30,Psycho,"Hitchcock, Alfred",1960,USA,109
30,31,32,"Dolce vita, La","Fellini, Federico",1960,Italy,175
31,32,35,Some Like it Hot,"Wilder, Billy",1959,USA,119
32,33,28,Ordet,"Dreyer, Carl Theodor",1955,Denmark,125
33,34,34,Touch of Evil,"Welles, Orson",1958,USA,108
34,35,33,Au hasard Balthazar,"Bresson, Robert",1966,France,95
35,36,36,"General, The",Keaton & Bruckman,1926,USA,74
36,37,38,Casablanca,"Curtiz, Michael",1942,USA,102
37,38,37,Contempt,"Godard, Jean-Luc",1963,France,103
38,39,39,"Grande illusion, La","Renoir, Jean",1937,France,117
39,40,44,Sunset Blvd.,"Wilder, Billy",1950,USA,110
40,41,49,Metropolis,"Lang, Fritz",1927,Germany,153
41,42,43,Modern Times,"Chaplin, Charles",1936,USA,89
42,43,41,"Third Man, The","Reed, Carol",1949,UK,104
43,44,40,"Night of the Hunter, The","Laughton, Charles",1955,USA,93
44,45,45,Blade Runner,"Scott, Ridley",1982,USA,118
45,46,42,Rear Window,"Hitchcock, Alfred",1954,USA,112
46,47,55,Playtime,"Tati, Jacques",1967,France,108
47,48,47,Ugetsu monogatari,"Mizoguchi, Kenji",1953,Japan,96
48,49,46,M,"Lang, Fritz",1931,Germany,99
49,50,50,Chinatown,"Polanski, Roman",1974,USA,131
50,51,51,Pather Panchali,"Ray, Satyajit",1955,India,112
51,52,48,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Kubrick, Stanley",1964,UK,93
52,53,52,Barry Lyndon,"Kubrick, Stanley",1975,UK,183
53,54,53,"Enfants du paradis, Les","Carne, Marcel",1945,France,195
54,55,54,Stalker,"Tarkovsky, Andrei",1979,USSR,160
55,56,57,Fanny and Alexander,"Bergman, Ingmar",1982,Sweden,189
56,57,56,"Battle of Algiers, The","Pontecorvo, Gillo",1965,Algeria,123
57,58,59,In the Mood for Love,Wong Kar-wai,2000,Hong Kong,97
58,59,58,Late Spring,"Ozu, Yasujiro",1949,Japan,108
59,60,62,Once Upon a Time in the West,"Leone, Sergio",1968,Italy,165
60,61,71,"Apartment, The","Wilder, Billy",1960,USA,125
61,62,60,North by Northwest,"Hitchcock, Alfred",1959,USA,136
62,63,63,"Gold Rush, The","Chaplin, Charles",1925,USA,82
63,64,61,Shoah,"Lanzmann, Claude",1985,France,566
64,65,65,"Leopard, The","Visconti, Luchino",1963,Italy,205
65,66,68,"Strada, La","Fellini, Federico",1954,Italy,115
66,67,64,"Wild Bunch, The","Peckinpah, Sam",1969,USA,144
67,68,66,Wild Strawberries,"Bergman, Ingmar",1957,Sweden,90
68,69,67,Pierrot le fou,"Godard, Jean-Luc",1965,France,110
69,70,74,"Seventh Seal, The","Bergman, Ingmar",1957,Sweden,96
70,71,73,Pickpocket,"Bresson, Robert",1959,France,75
71,72,70,Gertrud,"Dreyer, Carl Theodor",1964,Denmark,116
72,73,69,Mulholland Dr.,"Lynch, David",2001,France,147
73,74,75,Rio Bravo,"Hawks, Howard",1959,USA,141
74,75,72,Voyage in Italy,"Rossellini, Roberto",1953,Italy,97
75,76,77,Viridiana,"Bunuel, Luis",1961,Spain,90
76,77,85,Amarcord,"Fellini, Federico",1973,Italy,127
77,78,79,Close-Up,"Kiarostami, Abbas",1990,Iran,98
78,79,76,"Conformist, The","Bertolucci, Bernardo",1970,Italy,107
79,80,78,Blue Velvet,"Lynch, David",1986,USA,120
80,81,83,Nashville,"Altman, Robert",1975,USA,159
81,82,84,Jules et Jim,"Truffaut, Francois",1961,France,104
82,83,80,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","Akerman, Chantal",1975,Belgium,201
83,84,81,"Magnificent Ambersons, The","Welles, Orson",1942,USA,88
84,85,86,"Man Escaped, A","Bresson, Robert",1956,France,102
85,86,82,Sansho the Bailiff,"Mizoguchi, Kenji",1954,Japan,125
86,87,87,Aguirre: The Wrath of God,"Herzog, Werner",1972,West Germany,94
87,88,88,Intolerance,"Griffith, D.W.",1916,USA,178
88,89,89,It's a Wonderful Life,"Capra, Frank",1946,USA,129
89,90,90,Satantango,"Tarr, Bela",1994,Hungary,450
90,91,92,GoodFellas,"Scorsese, Martin",1990,USA,146
91,92,97,Annie Hall,"Allen, Woody",1977,USA,94
92,93,98,"Clockwork Orange, A","Kubrick, Stanley",1971,UK,137
93,94,91,Greed,"von Stroheim, Erich",1924,USA,140
94,95,94,"Wizard of Oz, The","Fleming, Victor",1939,USA,101
95,96,100,Last Year at Marienbad,"Resnais, Alain",1961,France,94
96,97,93,"Mother and the Whore, The","Eustache, Jean",1973,France,210
97,98,96,"Eclisse, L'","Antonioni, Michelangelo",1962,Italy,126
98,99,95,"Jetee, La","Marker, Chris",1962,France,27
99,100,99,"Man Who Shot Liberty Valance, The","Ford, John",1962,USA,119
100,101,146,"Brighter Summer Day, A","Yang, Edward",1991,Taiwan,237
101,102,105,Gone with the Wind,"Fleming, Victor",1939,USA,222
102,103,109,Pulp Fiction,"Tarantino, Quentin",1994,USA,154
103,104,101,Jaws,"Spielberg, Steven",1975,USA,124
104,105,104,"Olvidados, Los","Bunuel, Luis",1950,Mexico,88
105,106,107,To Be or Not to Be,"Lubitsch, Ernst",1942,USA,99
106,107,102,Ikiru,"Kurosawa, Akira",1952,Japan,143
107,108,110,Bringing Up Baby,"Hawks, Howard",1938,USA,102
108,109,114,All About Eve,"Mankiewicz, Joseph L.",1950,USA,138
109,110,116,Hiroshima mon amour,"Resnais, Alain",1959,France,91
110,111,103,Sherlock Jr.,"Keaton, Buster",1924,USA,44
111,112,115,Histoire(s) du cinema,"Godard, Jean-Luc",1998,France,265
112,113,106,Sans soleil,"Marker, Chris",1983,France,100
113,114,108,Madame de...,"Ophuls, Max",1953,France,105
114,115,112,"Shining, The","Kubrick, Stanley",1980,USA,142
115,116,111,"Age d'or, L'","Bunuel, Luis",1930,France,63
116,117,117,"Chien andalou, Un","Bunuel, Luis",1928,France,16
117,118,113,"Lady Eve, The","Sturges, Preston",1941,USA,94
118,119,120,Blowup,"Antonioni, Michelangelo",1966,Italy,111
119,120,118,Vivre sa vie,"Godard, Jean-Luc",1962,France,85
120,121,119,Nosferatu,"Murnau, F.W.",1922,Germany,84
121,122,122,Ali: Fear Eats the Soul,"Fassbinder, Rainer Werner",1974,West Germany,94
122,123,121,"Spirit of the Beehive, The","Erice, Victor",1973,Spain,95
123,124,128,"Woman Under the Influence, A","Cassavetes, John",1974,USA,155
124,125,126,Star Wars,"Lucas, George",1977,USA,121
125,126,124,Letter from an Unknown Woman,"Ophuls, Max",1948,USA,90
126,127,125,"Matter of Life and Death, A",Powell & Pressburger,1946,UK,104
127,128,123,"Life and Death of Colonel Blimp, The",Powell & Pressburger,1943,UK,163
128,129,132,Notorious,"Hitchcock, Alfred",1946,USA,101
129,130,130,Manhattan,"Allen, Woody",1979,USA,96
130,131,127,"Rome, Open City","Rossellini, Roberto",1945,Italy,105
131,132,134,Badlands,"Malick, Terrence",1973,USA,95
132,133,133,Napoleon,"Gance, Abel",1927,France,235
133,134,129,Don't Look Now,"Roeg, Nicolas",1973,UK,110
134,135,136,One Flew Over the Cuckoo's Nest,"Forman, Milos",1975,USA,133
135,136,131,Days of Heaven,"Malick, Terrence",1978,USA,95
136,137,141,Beau travail,"Denis, Claire",1998,France,93
137,138,140,Trouble in Paradise,"Lubitsch, Ernst",1932,USA,83
138,139,135,Do the Right Thing,"Lee, Spike",1989,USA,120
139,140,138,My Darling Clementine,"Ford, John",1946,USA,97
140,141,139,E.T. The Extra-Terrestrial,"Spielberg, Steven",1982,USA,115
141,142,149,Double Indemnity,"Wilder, Billy",1944,USA,106
142,143,147,His Girl Friday,"Hawks, Howard",1940,USA,92
143,144,144,Stagecoach,"Ford, John",1939,USA,96
144,145,137,King Kong,Cooper & Schoedsack,1933,USA,103
145,146,156,Brief Encounter,"Lean, David",1945,UK,85
146,147,143,Come and See,"Klimov, Elem",1985,USSR,136
147,148,145,"Gospel According to St. Matthew, The","Pasolini, Pier Paolo",1964,France,135
148,149,150,"Good, the Bad and the Ugly, The","Leone, Sergio",1966,Italy,161
149,150,142,Duck Soup,"McCarey, Leo",1933,USA,70
150,151,161,"Exterminating Angel, The","Bunuel, Luis",1962,Mexico,95
151,152,148,Partie de campagne,"Renoir, Jean",1936,France,40
152,153,168,Yi yi,"Yang, Edward",2000,Taiwan,173
153,154,151,"Red Shoes, The",Powell & Pressburger,1948,UK,133
154,155,157,"Travelling Players, The","Angelopoulos, Theo",1975,Greece,230
155,156,171,Once Upon a Time in America,"Leone, Sergio",1984,Italy,229
156,157,152,On the Waterfront,"Kazan, Elia",1954,USA,108
157,158,162,"Last Laugh, The","Murnau, F.W.",1924,Germany,77
158,159,169,"Discreet Charm of the Bourgeoisie, The","Bunuel, Luis",1972,France,100
159,160,153,"Grapes of Wrath, The","Ford, John",1940,USA,129
160,161,228,Spring in a Small Town,Fei Mu,1948,China,85
161,162,158,Mouchette,"Bresson, Robert",1966,France,80
162,163,159,"Great Dictator, The","Chaplin, Charles",1940,USA,128
163,164,166,"Umbrellas of Cherbourg, The","Demy, Jacques",1964,France,91
164,165,154,Performance,Roeg & Cammell,1970,UK,105
165,166,160,"Argent, L'","Bresson, Robert",1983,France,90
166,167,165,Black Narcissus,Powell & Pressburger,1946,UK,99
167,168,155,Imitation of Life,"Sirk, Douglas",1959,USA,124
168,169,164,"River, The","Renoir, Jean",1951,France,99
169,170,170,Vampyr,"Dreyer, Carl Theodor",1932,France,73
170,171,167,Paisan,"Rossellini, Roberto",1946,Italy,120
171,172,173,Ran,"Kurosawa, Akira",1985,France,161
172,173,172,Earth,"Dovzhenko, Alexander",1930,USSR,75
173,174,174,Rocco and His Brothers,"Visconti, Luchino",1960,Italy,180
174,175,195,Alien,"Scott, Ridley",1979,USA,117
175,176,188,Nights of Cabiria,"Fellini, Federico",1957,Italy,110
176,177,179,Cries and Whispers,"Bergman, Ingmar",1972,Sweden,106
177,178,163,Out of the Past,"Tourneur, Jacques",1947,USA,97
178,179,177,"Colour of Pomegranate, The","Parajanov, Sergei",1969,USSR,73
179,180,183,"Conversation, The","Coppola, Francis Ford",1974,USA,113
180,181,221,"City of Sadness, A",Hou Hsiao-hsien,1989,Taiwan,157
181,182,186,Umberto D.,"De Sica, Vittorio",1952,Italy,89
182,183,175,Ashes and Diamonds,"Wajda, Andrzej",1958,Poland,96
183,184,187,Meet Me in St. Louis,"Minnelli, Vincente",1944,USA,113
184,185,180,Sweet Smell of Success,"Mackendrick, Alexander",1957,USA,96
185,186,176,"Salo, or the 120 Days of Sodom","Pasolini, Pier Paolo",1975,Italy,117
186,187,178,"Best Years of Our Lives, The","Wyler, William",1946,USA,172
187,188,185,"Deer Hunter, The","Cimino, Michael",1978,USA,183
188,189,190,"Passenger, The","Antonioni, Michelangelo",1975,Italy,119
189,190,181,Chimes at Midnight,"Welles, Orson",1966,France,115
190,191,182,Celine and Julie Go Boating,"Rivette, Jacques",1974,France,192
191,192,189,Rosemary's Baby,"Polanski, Roman",1968,USA,136
192,193,184,McCabe & Mrs. Miller,"Altman, Robert",1971,USA,121
193,194,192,"Samourai, Le","Melville, Jean-Pierre",1967,France,95
194,195,193,Kind Hearts and Coronets,"Hamer, Robert",1949,UK,104
195,196,198,Chungking Express,Wong Kar-wai,1994,Hong Kong,104
196,197,205,"Band Wagon, The","Minnelli, Vincente",1953,USA,112
197,198,200,"Cabinet of Dr. Caligari, The","Wiene, Robert",1919,Germany,69
198,199,199,Meshes of the Afternoon,"Deren, Maya",1943,USA,15
199,200,191,Belle de jour,"Bunuel, Luis",1967,France,100
200,201,194,Red River,"Hawks, Howard",1948,USA,133
201,202,208,Paths of Glory,"Kubrick, Stanley",1957,USA,86
202,203,196,Diary of a Country Priest,"Bresson, Robert",1950,France,120
203,204,209,Kes,"Loach, Ken",1969,UK,113
204,205,202,"Ivan the Terrible, Part 2","Eisenstein, Sergei",1946,USSR,88
205,206,203,Two or Three Things I Know About Her,"Godard, Jean-Luc",1966,France,87
206,207,197,"Texas Chainsaw Massacre, The","Hooper, Tobe",1974,USA,83
207,208,212,Mean Streets,"Scorsese, Martin",1973,USA,110
208,209,204,Solaris,"Tarkovsky, Andrei",1972,USSR,165
209,210,227,Three Colours: Blue,"Kieslowski, Krzysztof",1993,France,100
210,211,201,Touki Bouki,"Mambety, Djibril Diop",1973,Senegal,85
211,212,206,Wavelength,"Snow, Michael",1967,Canada,45
212,213,232,"Birds, The","Hitchcock, Alfred",1963,USA,120
213,214,207,Sullivan's Travels,"Sturges, Preston",1941,USA,91
214,215,210,Zero for Conduct,"Vigo, Jean",1933,France,41
215,216,243,Wings of Desire,"Wenders, Wim",1987,West Germany,130
216,217,219,Bonnie and Clyde,"Penn, Arthur",1967,USA,111
217,218,211,"Music Room, The","Ray, Satyajit",1958,India,95
218,219,217,"Thin Red Line, The","Malick, Terrence",1998,USA,170
219,220,225,Faces,"Cassavetes, John",1968,USA,130
220,221,223,Death in Venice,"Visconti, Luchino",1971,Italy,130
221,222,214,"Treasure of the Sierra Madre, The","Huston, John",1948,USA,124
222,223,213,"Birth of a Nation, The","Griffith, D.W.",1915,USA,187
223,224,249,Close Encounters of the Third Kind,"Spielberg, Steven",1977,USA,135
224,225,220,Brazil,"Gilliam, Terry",1985,UK,131
225,226,216,Memories of Underdevelopment,"Gutierrez Alea, Tomas",1968,Cuba,97
226,227,215,Breaking the Waves,"von Trier, Lars",1996,Denmark,156
227,228,222,Only Angels Have Wings,"Hawks, Howard",1939,USA,121
228,229,224,"Big Lebowski, The",Coen Brothers,1998,USA,113
229,230,242,Pandora's Box,"Pabst, G.W.",1928,Germany,133
230,231,234,"World of Apu, The","Ray, Satyajit",1959,India,103
231,232,218,"Germany, Year Zero","Rossellini, Roberto",1947,Italy,74
232,233,238,"Quiet Man, The","Ford, John",1952,USA,129
233,234,239,"Belle et la bete, La","Cocteau, Jean",1946,France,95
234,235,230,Crimes and Misdemeanors,"Allen, Woody",1989,USA,104
235,236,226,Broken Blossoms,"Griffith, D.W.",1919,USA,90
236,237,259,Dekalog,"Kieslowski, Krzysztof",1988,Poland,550
237,238,233,Night of the Living Dead,"Romero, George A.",1968,USA,96
238,239,244,"Graduate, The","Nichols, Mike",1967,USA,105
239,240,236,"Ivan the Terrible, Part 1","Eisenstein, Sergei",1944,USSR,96
240,241,229,Tabu,"Murnau, F.W.",1931,USA,82
241,242,240,Johnny Guitar,"Ray, Nicholas",1954,USA,110
242,243,248,"Exorcist, The","Friedkin, William",1973,USA,121
243,244,231,"Crowd, The","Vidor, King",1928,USA,104
244,245,235,Freaks,"Browning, Tod",1932,USA,64
245,246,250,Nanook of the North,"Flaherty, Robert",1922,USA,79
246,247,237,Eraserhead,"Lynch, David",1977,USA,85
247,248,278,Floating Clouds,"Naruse, Mikio",1955,Japan,123
248,249,253,"Shop Around the Corner, The","Lubitsch, Ernst",1940,USA,97
249,250,251,In a Lonely Place,"Ray, Nicholas",1950,USA,91
250,251,241,"Wages of Fear, The","Clouzot, Henri-Georges",1953,France,105
251,252,247,Day of Wrath,"Dreyer, Carl Theodor",1943,Denmark,110
252,253,267,"Story of the Last Chrysanthemums, The","Mizoguchi, Kenji",1939,Japan,148
253,254,252,Night and Fog,"Resnais, Alain",1955,France,32
254,255,275,Spirited Away,"Miyazaki, Hayao",2001,Japan,124
255,256,246,Videodrome,"Cronenberg, David",1983,Canada,90
256,257,245,My Neighbour Totoro,"Miyazaki, Hayao",1988,Japan,86
257,258,256,"Life of Oharu, The","Mizoguchi, Kenji",1952,Japan,146
258,259,254,Husbands,"Cassavetes, John",1970,USA,138
259,260,268,Fargo,Coen Brothers,1996,USA,98
260,261,309,"Autumn Afternoon, An","Ozu, Yasujiro",1962,Japan,115
261,262,255,Throne of Blood,"Kurosawa, Akira",1957,Japan,108
262,263,269,"Big Sleep, The","Hawks, Howard",1946,USA,114
263,264,270,"Paris, Texas","Wenders, Wim",1984,USA,150
264,265,260,Werckmeister Harmonies,"Tarr, Bela",2000,Hungary,145
265,266,262,"Maltese Falcon, The","Huston, John",1941,USA,100
266,267,257,"Distant Voices, Still Lives","Davies, Terence",1988,UK,85
267,268,258,"Notte, La","Antonioni, Michelangelo",1961,Italy,120
268,269,261,Raiders of the Lost Ark,"Spielberg, Steven",1981,USA,115
269,270,288,Three Colours: Red,"Kieslowski, Krzysztof",1994,France,99
270,271,265,Monsieur Verdoux,"Chaplin, Charles",1947,USA,123
271,272,272,My Night at Maud's,"Rohmer, Eric",1969,France,105
272,273,264,Berlin Alexanderplatz,"Fassbinder, Rainer Werner",1980,West Germany,894
273,274,263,"Canterbury Tale, A",Powell & Pressburger,1944,UK,124
274,275,266,"Piano, The","Campion, Jane",1993,Australia,121
275,276,366,Underground,"Kusturica, Emir",1995,France,192
276,277,273,"Voyage dans la lune, Le","Melies, Georges",1902,France,14
277,278,274,I Am Cuba,"Kalatozov, Mikhail",1964,USSR,141
278,279,271,Groundhog Day,"Ramis, Harold",1993,USA,103
279,280,276,It Happened One Night,"Capra, Frank",1934,USA,105
280,281,285,F for Fake,"Welles, Orson",1973,France,85
281,282,327,"Verdugo, El","Garcia Berlanga, Luis",1963,Spain,90
282,283,280,Kings of the Road,"Wenders, Wim",1976,West Germany,175
283,284,293,Harold and Maude,"Ashby, Hal",1971,USA,90
284,285,287,Love Streams,"Cassavetes, John",1984,USA,141
285,286,284,"Black God, White Devil","Rocha, Glauber",1964,Brazil,110
286,287,294,I Know Where I'm Going!,Powell & Pressburger,1945,UK,91
287,288,330,"Empire Strikes Back, The","Kershner, Irvin",1980,USA,124
288,289,303,"Double Life of Veronique, The","Kieslowski, Krzysztof",1991,France,97
289,290,281,How Green Was My Valley,"Ford, John",1941,USA,118
290,291,283,Unforgiven,"Eastwood, Clint",1992,USA,127
291,292,279,"Out 1, noli me tangere","Rivette, Jacques",1971,France,729
292,293,286,Orpheus,"Cocteau, Jean",1950,France,95
293,294,298,In the Realm of the Senses,"Oshima, Nagisa",1976,Japan,109
294,295,282,"Last Picture Show, The","Bogdanovich, Peter",1971,USA,118
295,296,291,"Philadelphia Story, The","Cukor, George",1940,USA,112
296,297,314,To Kill a Mockingbird,"Mulligan, Robert",1962,USA,129
297,298,295,Killer of Sheep,"Burnett, Charles",1977,USA,83
298,299,349,"Puppetmaster, The",Hou Hsiao-hsien,1993,Taiwan,141
299,300,323,"Touch of Zen, A","Hu, King",1969,Taiwan,200
300,301,292,Marketa Lazarova,"Vlacil, Frantisek",1967,Czechoslovakia,162
301,302,339,Schindler's List,"Spielberg, Steven",1993,USA,195
302,303,315,All That Heaven Allows,"Sirk, Douglas",1955,USA,89
303,304,290,Peeping Tom,"Powell, Michael",1960,UK,109
304,305,296,"I Was Born, But","Ozu, Yasujiro",1932,Japan,100
305,306,310,Red Desert,"Antonioni, Michelangelo",1964,France,118
306,307,300,Make Way for Tomorrow,"McCarey, Leo",1937,USA,92
307,308,350,"Sacrifice, The","Tarkovsky, Andrei",1986,France,145
308,309,277,"Killing of a Chinese Bookie, The","Cassavetes, John",1976,USA,109
309,310,289,Army of Shadows,"Melville, Jean-Pierre",1969,France,140
310,311,307,Where is the Friend's Home?,"Kiarostami, Abbas",1987,Iran,85
311,312,297,"King of Comedy, The","Scorsese, Martin",1983,USA,109
312,313,329,Network,"Lumet, Sidney",1976,USA,121
313,314,299,Hour of the Wolf,"Bergman, Ingmar",1967,Sweden,88
314,315,351,Opening Night,"Cassavetes, John",1977,USA,144
315,316,317,Week-End,"Godard, Jean-Luc",1967,France,103
316,317,334,Russian Ark,"Sokurov, Aleksandr",2002,Russia,96
317,318,318,Lola Montes,"Ophuls, Max",1955,France,116
318,319,306,Snow White and the Seven Dwarfs,"Hand, David",1937,USA,83
319,320,302,Chelsea Girls,"Warhol, Andy",1966,USA,210
320,321,308,Bride of Frankenstein,"Whale, James",1935,USA,75
321,322,311,Reservoir Dogs,"Tarantino, Quentin",1992,USA,99
322,323,305,Dawn of the Dead,"Romero, George A.",1978,USA,126
323,324,313,Marnie,"Hitchcock, Alfred",1964,USA,129
324,325,312,In a Year with 13 Moons,"Fassbinder, Rainer Werner",1978,West Germany,129
325,326,301,Cinema Paradiso,"Tornatore, Giuseppe",1988,Italy,123
326,327,321,High and Low,"Kurosawa, Akira",1963,Japan,142
327,328,319,"Thin Blue Line, The","Morris, Errol",1988,USA,96
328,329,328,October,Eisenstein & Aleksandrov,1927,USSR,103
329,330,325,"Bridge on the River Kwai, The","Lean, David",1957,UK,161
330,331,316,Through the Olive Trees,"Kiarostami, Abbas",1994,Iran,103
